"placeCode","placeName","stateCode","lat","lng","coverImage"
"CHITTORGARH","Chittorgarh, Rajasthan","RAJASTHAN",24.8887435,74.6269216,"https://www.holidify.com/images/bgImages/CHITTORGARH.jpg"
"CHOPTA","Chopta, Uttarakhand","UTTARAKHAND",30.3513616,79.04194,"https://www.holidify.com/images/bgImages/CHOPTA.jpg"
"CHURU","Churu, Rajasthan","RAJASTHAN",28.3,74.95,"https://www.holidify.com/images/bgImages/CHURU.jpg"
"COIMBATORE","Coimbatore, Tamil Nadu","TAMIL-NADU",11.0168445,76.9558321,"https://www.holidify.com/images/bgImages/COIMBATORE.jpg"
"COOCH-BEHAR","Cooch Behar, West Bengal","WEST-BENGAL",26.32419,89.45103,"https://www.holidify.com/images/bgImages/COOCH-BEHAR.jpg"
"COONOOR","Coonoor, Tamil Nadu","TAMIL-NADU",11.3530022,76.7959095,"https://www.holidify.com/images/bgImages/COONOOR.jpg"
"COORG","Coorg, Karnataka","KARNATAKA",12.4244205,75.7381856,"https://www.holidify.com/images/bgImages/COORG.jpg"
"CORBETT-NATIONAL-PARK","Jim Corbett National Park, Uttarakhand","UTTARAKHAND",29.533333,78.935278,"https://www.holidify.com/images/bgImages/CORBETT-NATIONAL-PARK.jpg"
"CUTTACK","Cuttack, Orissa","ODISHA",20.462521,85.8829895,"https://www.holidify.com/images/bgImages/CUTTACK.jpg"
"DACHIGAM-NATIONAL-PARK","Dachigam National Park, Jammu & Kashmir","JAMMU-AND-KASHMIR",34.1371835,75.0377502,"https://www.holidify.com/images/bgImages/DACHIGAM-NATIONAL-PARK.jpg"
"DAHANU","Dahanu","MAHARASHTRA-GOA",19.95488,72.74774,"https://www.holidify.com/images/bgImages/DAHANU.jpg"
"DALHOUSIE","Dalhousie, Himachal Pradesh","HIMACHAL-PRADESH",32.5341812,75.9797052,"https://www.holidify.com/images/bgImages/DALHOUSIE.jpg"
"DAMAN","Daman, Daman and Diu","UNION-TERRITORY",20.416567,72.833416,"https://www.holidify.com/images/bgImages/DAMAN.jpg"
"DANDELI","Dandeli, Karnataka","KARNATAKA",15.261414,74.613136,"https://www.holidify.com/images/bgImages/DANDELI.jpg"
"DANTA-AMBAJI","Danta Ambaji, Gujarat","GUJARAT",23.9445109,72.6737887,"https://www.holidify.com/images/bgImages/DANTA-AMBAJI.jpg"
"DANTEWADA","Dantewada, Chattisgarh","CHATTISGARH",18.9,81.35,"https://www.holidify.com/images/bgImages/DANTEWADA.jpg"
"DAPOLI","Dapoli, Maharashtra","MAHARASHTRA-GOA",17.758889,73.185556,"https://www.holidify.com/images/bgImages/DAPOLI.jpg"
"DAPORIJO","Daporijo, Arunachal Pradesh","ARUNACHAL-PRADESH",27.9862879,94.2205209,"https://www.holidify.com/images/bgImages/DAPORIJO.jpg"
"DARANG","Darang, Assam","ASSAM",26.4522876,92.027319,"https://www.holidify.com/images/bgImages/DARANG.jpg"
"DARJEELING","Darjeeling, West Bengal","WEST-BENGAL",27.0360066,88.2626751,"https://www.holidify.com/images/bgImages/DARJEELING.jpg"
"DAVANGERE","Davangere, Karnataka","KARNATAKA",14.4663438,75.9238397,"https://www.holidify.com/images/bgImages/DAVANGERE.jpg"
"DEEG","Deeg, Rajasthan","RAJASTHAN",27.4723994,77.3249713,"https://www.holidify.com/images/bgImages/DEEG.jpg"
"DEHRADUN","Dehradun, Uttarakhand","UTTARAKHAND",30.3164945,78.0321918,"https://www.holidify.com/images/bgImages/DEHRADUN.jpg"
"DELHI","Delhi","NCR",28.6666667,77.2166667,"https://www.holidify.com/images/bgImages/DELHI.jpg"
"DEOGHAR","Deoghar, Jharkhand","JHARKHAND",24.4833,86.7,"https://www.holidify.com/images/bgImages/DEOGHAR.jpg"
"DEVBAGH","Devbagh, Karnataka","KARNATAKA",14.8464269,74.1137046,"https://www.holidify.com/images/bgImages/DEVBAGH.jpg"
"DEVIKULAM","Devikulam, Kerala","KERALA",10.024423,77.146833,"https://www.holidify.com/images/bgImages/DEVIKULAM.jpg"
"DEVPRAYAG","Devprayag, Uttarakhand","UTTARAKHAND",30.1459471,78.5992925,"https://www.holidify.com/images/bgImages/DEVPRAYAG.jpg"
"DHAMTARI","Dhamtari, Chattisgarh","CHATTISGARH",20.8963533,81.6004211,"https://www.holidify.com/images/bgImages/DHAMTARI.jpg"
"DHANAULTI","Dhanaulti, Uttarakhand","UTTARAKHAND",30.426677,78.2376466,"https://www.holidify.com/images/bgImages/DHANAULTI.jpg"
"DHANBAD","Dhanbad","JHARKHAND",23.7956531,86.4303859,"https://www.holidify.com/images/bgImages/DHANBAD.jpg"
"DHANUSHKODI","Dhanushkodi, Tamil Nadu","TAMIL-NADU",9.232767,79.3362295,"https://www.holidify.com/images/bgImages/DHANUSHKODI.jpg"
"DHARAMSALA","Dharamshala, Himachal Pradesh","HIMACHAL-PRADESH",32.2196772,76.3209345,"https://www.holidify.com/images/bgImages/DHARAMSALA.jpg"
"DHARCHULA","Dharchula, Uttarakhand","UTTARAKHAND",29.8473422,80.5369058,"https://www.holidify.com/images/bgImages/DHARCHULA.jpg"
"DHARMASTHALA","Dharmasthala, Karnataka","KARNATAKA",12.94685,75.38132,"https://www.holidify.com/images/bgImages/DHARMASTHALA.jpg"
"DHAULI","Dhauli, Odisha","ODISHA",20.1881589,85.8447846,"https://www.holidify.com/images/bgImages/DHAULI.jpg"
"DHEMAJI","Dhemaji, Assam","ASSAM",27.4811106,94.5572847,"https://www.holidify.com/images/bgImages/DHEMAJI.jpg"
"DHOLAVIRA","Dholavira, Gujarat","GUJARAT",23.8861,70.2167,"https://www.holidify.com/images/bgImages/DHOLAVIRA.jpg"
"DIBRU-SAIKHOWA-NATIONAL-PARK","Dibru Saikhowa National Park, Assam","ASSAM",27.6690334,95.3625516,"https://www.holidify.com/images/bgImages/DIBRU-SAIKHOWA-NATIONAL-PARK.jpg"
"DIBRUGARH","Dibrugarh, Assam","ASSAM",27.4728327,94.9119621,"https://www.holidify.com/images/bgImages/DIBRUGARH.jpg"
"DIGHA","Digha, West Bengal","WEST-BENGAL",21.6268379,87.5222746,"https://www.holidify.com/images/bgImages/DIGHA.jpg"
"DIMAPUR","Dimapur, Nagaland","NAGALAND",25.8,93.783333,"https://www.holidify.com/images/bgImages/DIMAPUR.jpg"
"DIPHU","Diphu, Assam","ASSAM",25.841554,93.4245984,"https://www.holidify.com/images/bgImages/DIPHU.jpg"
"DISPUR","Dispur, Assam","ASSAM",26.140833,91.790833,"https://www.holidify.com/images/bgImages/DISPUR.jpg"
"DIU","Diu, Daman and Diu","GUJARAT",20.7150151,70.9895325,"https://www.holidify.com/images/bgImages/DIU.jpg"
"DIVEAGAR","Diveagar, Maharashtra","MAHARASHTRA-GOA",18.1682321,72.9901898,"https://www.holidify.com/images/bgImages/DIVEAGAR.jpg"
"DOOARS","Dooars, West Bengal","WEST-BENGAL",26.6966649,89.1445953,"https://www.holidify.com/images/bgImages/DOOARS.jpg"
"DRAS","Dras, Jammu & Kashmir","JAMMU-AND-KASHMIR",34.4275961,75.751685,"https://www.holidify.com/images/bgImages/DRAS.jpg"
"DUBARE","Dubare, Karnataka","KARNATAKA",12.3685023,75.9049493,"https://www.holidify.com/images/bgImages/DUBARE.jpg"
"DUDHWA-NATIONAL-PARK","Dudhwa National Park, Uttarakhand","UTTAR-PRADESH",28.470872,80.699263,"https://www.holidify.com/images/bgImages/DUDHWA-NATIONAL-PARK.jpg"
"DURGAPUR","Durgapur, West Bengal","WEST-BENGAL",23.5204443,87.3119227,"https://www.holidify.com/images/bgImages/DURGAPUR.jpg"
"DURSHET","Durshet, Maharashtra","MAHARASHTRA-GOA",18.7041601,73.2942267,"https://www.holidify.com/images/bgImages/DURSHET.jpg"
"DWARKA","Dwarka, Gujarat","GUJARAT",22.2441975,68.9684562,"https://www.holidify.com/images/bgImages/DWARKA.jpg"
"FARIDABAD","Faridabad, Haryana","HARYANA",28.4089123,77.3177894,"https://www.holidify.com/images/bgImages/FARIDABAD.jpg"
"FATEHPUR","Fatehpur, Rajasthan","RAJASTHAN",27.9950204,74.9617924,"https://www.holidify.com/images/bgImages/FATEHPUR.jpg"
"FIROZABAD","Firozabad","UTTAR-PRADESH",27.15698,78.38923,"https://www.holidify.com/images/bgImages/FIROZABAD.jpg"
"GANAPATIPULE","Ganpatipule, Maharashtra","MAHARASHTRA-GOA",17.1488663,73.2726946,"https://www.holidify.com/images/bgImages/GANAPATIPULE.jpg"
"GANDHINAGAR","Gandhinagar, Gujarat","GUJARAT",23.2248196,72.6463769,"https://www.holidify.com/images/bgImages/GANDHINAGAR.jpg"
"GANDIKOTA","Gandikota","ANDHRA-PRADESH",14.8149,78.2863,"https://www.holidify.com/images/bgImages/GANDIKOTA.jpg"
"GANGOTRI","Gangotri, Uttarakhand","UTTARAKHAND",30.9946945,78.9398402,"https://www.holidify.com/images/bgImages/GANGOTRI.jpg"
"GANGTOK","Gangtok, Sikkim","SIKKIM",27.3389356,88.6065035,"https://www.holidify.com/images/bgImages/GANGTOK.jpg"
"GAUMUKH","Gaumukh, Uttarakhand","UTTARAKHAND",30.9265434,79.080255,"https://www.holidify.com/images/bgImages/GAUMUKH.jpg"
"GHAZIABAD","Ghaziabad, Uttar Pradesh","UTTAR-PRADESH",28.6691565,77.4537578,"https://www.holidify.com/images/bgImages/GHAZIABAD.jpg"
"GIR-NATIONAL-PARK","Gir National Park, Gujarat","GUJARAT",21.1356,70.7967,"https://www.holidify.com/images/bgImages/GIR-NATIONAL-PARK.jpg"
